hood_p,pre,post,permit_chg,k,hood_b,openings_15_19_avg,openings_22_25_avg,open_chg,active_now,total_ever,sq_mi,survival,biz_density_now,openings_per_sqmi,type
Algiers Point,25.2,18.25,-27.579365079365083,ALGIERS POINT,ALGIERS POINT,5.8,6.2,7.8,52,110,0.5,47.27272727272727,104.0,12.4,A. Building and forming
Audubon,168.6,117.0,-30.60498220640569,AUDUBON,AUDUBON,16.2,15.0,-7.4,202,357,2.3,56.582633053221286,87.82608695652175,6.521739130434783,A. Building and forming
Bayou St John,60.8,19.75,-67.51644736842105,BAYOU ST JOHN,BAYOU ST. JOHN,8.6,10.0,16.3,123,205,0.4,60.0,307.5,25.0,B. Forming without building
Behrman,83.2,27.5,-66.94711538461539,BEHRMAN,BEHRMAN,11.4,12.8,11.8,129,248,1.5,52.016129032258064,86.0,8.533333333333333,B. Forming without building
Broadmoor,52.4,20.0,-61.832061068702295,BROADMOOR,BROADMOOR,10.4,8.8,-15.9,78,160,0.6,48.75,130.0,14.666666666666668,D. Neither
Bywater,93.6,48.5,-48.18376068376068,BYWATER,BYWATER,16.2,15.0,-7.4,154,280,1.3,55.00000000000001,118.46153846153845,11.538461538461538,A. Building and forming
Central Business District,1207.4,409.75,-66.0634421070068,CENTRAL BUSINESS DISTRICT,CENTRAL BUSINESS DISTRICT,172.0,140.5,-18.3,1535,3083,1.2,49.78916639636717,1279.1666666666667,117.08333333333334,D. Neither
Central City,339.2,166.25,-50.98761792452831,CENTRAL CITY,CENTRAL CITY,54.2,37.5,-30.8,485,942,1.4,51.48619957537155,346.42857142857144,26.78571428571429,C. Building without forming
City Park,41.2,10.5,-74.51456310679612,CITY PARK,CITY PARK,5.8,3.2,-44.0,64,106,2.5,60.37735849056604,25.6,1.28,D. Neither
Desire Area,68.4,23.25,-66.00877192982458,DESIRE AREA,DESIRE AREA,7.2,6.0,-16.7,85,159,2.1,53.459119496855344,40.476190476190474,2.857142857142857,D. Neither
Dillard,37.4,17.75,-52.54010695187166,DILLARD,DILLARD,9.8,8.2,-15.8,99,200,0.9,49.5,110.0,9.11111111111111,D. Neither
East Carrollton,34.4,29.5,-14.24418604651162,EAST CARROLLTON,EAST CARROLLTON,7.4,10.8,45.3,117,223,0.4,52.46636771300448,292.5,27.0,A. Building and forming
East Riverside,58.2,38.25,-34.27835051546392,EAST RIVERSIDE,EAST RIVERSIDE,16.0,12.2,-23.4,136,282,0.2,48.226950354609926,680.0,60.99999999999999,C. Building without forming
Fairgrounds,55.2,42.25,-23.46014492753623,FAIRGROUNDS,FAIRGROUNDS,10.6,12.0,13.2,107,211,0.9,50.71090047393365,118.88888888888889,13.333333333333332,A. Building and forming
Fillmore,18.6,9.75,-47.58064516129033,FILLMORE,FILMORE,7.6,10.2,34.9,73,166,1.2,43.97590361445783,60.833333333333336,8.5,A. Building and forming
French Quarter,416.0,276.0,-33.65384615384615,FRENCH QUARTER,FRENCH QUARTER,86.6,82.5,-4.7,964,1876,0.7,51.385927505330486,1377.1428571428573,117.85714285714286,A. Building and forming
Freret,89.4,45.5,-49.105145413870254,FRERET,FRERET,9.6,10.8,12.0,109,216,0.2,50.46296296296296,545.0,54.0,A. Building and forming
Garden District,34.0,24.5,-27.94117647058824,GARDEN DISTRICT,GARDEN DISTRICT,7.4,8.5,14.9,65,145,0.2,44.827586206896555,325.0,42.5,A. Building and forming
Gentilly Terrace,49.8,24.0,-51.80722891566265,GENTILLY TERRACE,GENTILLY TERRACE,11.4,13.0,14.0,113,238,1.2,47.47899159663865,94.16666666666667,10.833333333333334,B. Forming without building
Gert Town,94.8,83.25,-12.183544303797468,GERT TOWN,GERT TOWN,22.0,16.0,-27.3,193,408,0.8,47.30392156862745,241.25,20.0,C. Building without forming
Hollygrove,40.4,23.5,-41.83168316831682,HOLLYGROVE,HOLLYGROVE,6.2,3.8,-39.5,53,112,0.6,47.32142857142857,88.33333333333334,6.333333333333333,C. Building without forming
Irish Channel,56.8,23.25,-59.066901408450704,IRISH CHANNEL,IRISH CHANNEL,13.8,9.2,-33.0,100,227,0.8,44.052863436123346,125.0,11.499999999999998,D. Neither
Lake Terrace & Oaks,20.6,22.75,10.43689320388348,LAKE TERRACE AND OAKS,LAKE TERRACE & OAKS,5.4,6.8,25.0,53,114,1.5,46.49122807017544,35.333333333333336,4.533333333333333,A. Building and forming
